date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:37	6009/6009	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/pickadate/default.date.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/pickadate/default.date7e68.css	(from https://softechcomputers.org.in/)
18:17:37	2543/2543	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/pickadate/default.time.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/pickadate/default.time7e68.css	(from https://softechcomputers.org.in/)
18:17:37	1099/1099	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-raty.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-raty7e68.css	(from https://softechcomputers.org.in/)
18:17:38	4010/4010	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/simplebar.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/simplebar7e68.css	(from https://softechcomputers.org.in/)
18:17:38	2271/2271	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-tipsy.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-tipsy7e68.css	(from https://softechcomputers.org.in/)
18:17:39	12865/12865	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-responsive.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-responsive7e68.css	(from https://softechcomputers.org.in/)
18:17:39	6254/6254	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-old-default.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-old-default7e68.css	(from https://softechcomputers.org.in/)
18:17:39	37002/37002	---M--	200	added ('OK')	text/css	date:Sat,%2001%20May%202021%2014:40:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ocean-extra/assets/css/widgets.css?ver=5.7.2	C:/My%20Web%20Sites/web/wp-content/plugins/ocean-extra/assets/css/widgets9f31.css	(from https://softechcomputers.org.in/)
18:17:40	9625/9625	---MC-	200	added ('OK')	text/css	date:Wed,%2009%20Jun%202021%2012:47:40%20GMT	https://fonts.googleapis.com/css?family=Lato%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CPoppins%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CDM+Serif+Display%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=5.7.2	C:/My%20Web%20Sites/web/css48a6.css	(from https://softechcomputers.org.in/)
18:17:40	57912/57912	---M--	200	added ('OK')	text/css	date:Sat,%2001%20May%202021%2014:40:25%20GMT	https://softechcomputers.org.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.1	C:/My%20Web%20Sites/web/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min9e0b.css	(from https://softechcomputers.org.in/)
